,Occupancy_pct,Rate_usd,Arrival
1999-01,71.8,133.43,540656.0
1999-02,83.2,134.55,558703.0
1999-03,76.0,134.55,600286.0
1999-04,68.8,132.17,537904.0
1999-05,65.1,125.37,515209.0
1999-06,69.1,125.96,574999.0
1999-07,74.9,130.31,641430.0
1999-08,77.1,134.44,629858.0
1999-09,72.9,123.28,534315.0
1999-10,73.8,127.61,566935.0
1999-11,71.6,125.31,544006.0
1999-12,60.8,152.03,541492.0
2000-01,69.3,145.61,521429.0
2000-02,86.1,144.68,579297.0
2000-03,82.2,145.71,626188.0
2000-04,74.1,142.63,575387.0
2000-05,72.4,135.68,554625.0
2000-06,79.2,134.57,620357.0
2000-07,81.2,141.2,654172.0
2000-08,79.6,144.34,633517.0
2000-09,74.8,130.75,538771.0
2000-10,76.1,132.87,566947.0
2000-11,75.3,135.05,534686.0
2000-12,67.8,153.88,583917.0
2001-01,76.3,150.53,557784.0
2001-02,88.0,153.23,553955.0
2001-03,78.5,150.62,618386.0
2001-04,69.4,151.25,558383.0
2001-05,67.2,140.9,527865.0
2001-06,71.8,142.57,596804.0
2001-07,76.0,148.58,641232.0
2001-08,78.1,153.03,645700.0
2001-09,56.7,129.06,363219.0
2001-10,56.9,131.58,398790.0
2001-11,57.5,128.54,395384.0
2001-12,57.2,149.3,492860.0
2002-01,64.8,141.39,467688.0
2002-02,77.4,143.76,509640.0
2002-03,72.5,147.61,580343.0
2002-04,64.9,144.18,488023.0
2002-05,65.9,132.96,517731.0
2002-06,72.3,137.42,594486.0
2002-07,75.0,143.73,611894.0
2002-08,78.3,148.54,617899.0
2002-09,65.0,129.36,471052.0
2002-10,69.1,132.16,522969.0
2002-11,66.4,129.83,499317.0
2002-12,66.7,152.51,571793.0
2003-01,71.2,149.9,522162.0
2003-02,78.4,148.68,506518.0
2003-03,73.6,150.65,551175.0
2003-04,66.4,148.94,494532.0
2003-05,64.4,137.22,480382.0
2003-06,70.4,142.45,549229.0
2003-07,79.1,147.43,616878.0
2003-08,82.9,150.59,627272.0
2003-09,70.2,134.41,479592.0
2003-10,71.7,135.01,517009.0
2003-11,69.4,134.52,506791.0
2003-12,72.9,157.52,590480.0
2004-01,76.3,150.74,522872.0
2004-02,83.5,152.06,545257.0
2004-03,80.8,154.64,588530.0
2004-04,74.2,153.59,556986.0
2004-05,72.4,142.34,554577.0
2004-06,80.3,150.64,619780.0
2004-07,86.2,159.17,684228.0
2004-08,83.7,160.72,647276.0
2004-09,74.9,139.17,528080.0
2004-10,76.9,142.07,576339.0
2004-11,71.9,143.41,542461.0
2004-12,71.1,168.92,625542.0
2005-01,80.6,159.72,584592.0
2005-02,86.0,166.27,581030.0
2005-03,84.9,169.97,678307.0
2005-04,75.2,158.7,557396.0
2005-05,76.8,152.48,581625.0
2005-06,83.2,163.74,662721.0
2005-07,88.3,174.89,740182.0
2005-08,85.9,179.8,696924.0
2005-09,79.0,156.37,565815.0
2005-10,79.5,159.67,608998.0
2005-11,75.9,165.13,571492.0
2005-12,76.5,189.98,665154.0
2006-01,80.7,181.51,618419.0
2006-02,87.3,190.55,594657.0
2006-03,82.8,187.87,660398.0
2006-04,77.0,188.47,618230.0
2006-05,75.5,174.9,587441.0
2006-06,82.1,187.58,679080.0
2006-07,86.7,201.21,733251.0
2006-08,83.9,202.12,697767.0
2006-09,76.9,169.66,574192.0
2006-10,75.3,169.77,591110.0
2006-11,74.7,174.88,587525.0
2006-12,72.2,209.08,686047.0
2007-01,74.1,200.5,589202.0
2007-02,80.2,203.3,583578.0
2007-03,78.2,201.93,688236.0
2007-04,70.9,199.51,609151.0
2007-05,69.1,186.93,599842.0
2007-06,76.1,201.52,676774.0
2007-07,80.7,213.25,715016.0
2007-08,81.0,213.22,736336.0
2007-09,74.2,181.71,572646.0
2007-10,73.6,183.74,591607.0
2007-11,72.0,185.75,590882.0
2007-12,70.4,224.16,674551.0
2008-01,75.7,213.82,600278.0
2008-02,83.5,213.62,606000.0
2008-03,77.3,218.21,671502.0
2008-04,69.2,197.55,549590.0
2008-05,68.4,190.11,554709.0
2008-06,68.9,206.26,580625.0
2008-07,74.1,211.16,614677.0
2008-08,74.4,211.47,608391.0
2008-09,63.0,178.43,461016.0
2008-10,67.1,177.67,514369.0
2008-11,63.5,177.8,497637.0
2008-12,60.8,214.28,564118.0
2009-01,63.1,197.41,523512.0
2009-02,72.3,188.19,527562.0
2009-03,65.2,182.83,556542.0
2009-04,62.8,179.69,542511.0
2009-05,61.0,165.61,516308.0
2009-06,61.8,172.24,550563.0
2009-07,68.8,176.87,624311.0
2009-08,69.4,178.22,608522.0
2009-09,63.6,160.41,494441.0
2009-10,66.4,164.63,505777.0
2009-11,61.1,162.46,488612.0
2009-12,62.9,196.02,578395.0
2010-01,66.4,176.88,532827.0
2010-02,75.6,174.99,531180.0
2010-03,70.4,173.76,607856.0
2010-04,65.3,176.29,557584.0
2010-05,65.3,160.44,550271.0
2010-06,71.4,170.16,607820.0
2010-07,79.4,181.19,680928.0
2010-08,75.7,181.8,649450.0
2010-09,70.6,160.5,539256.0
2010-10,70.9,163.97,574518.0
2010-11,67.6,169.71,552536.0
2010-12,69.9,204.72,633907.0
2011-01,74.1,190.65,597883.0
2011-02,81.4,192.65,593417.0
2011-03,74.7,190.34,633551.0
2011-04,68.6,191.21,581441.0
2011-05,66.6,175.91,553651.0
2011-06,70.5,186.2,607630.0
2011-07,76.1,197.37,668290.0
2011-08,77.3,194.76,653570.0
2011-09,74.5,172.62,560830.0
2011-10,72.4,176.13,590067.0
2011-11,70.6,185.9,568628.0
2011-12,72.8,220.12,690090.0
2012-01,79.0,207.53,646467.0
2012-02,83.2,206.28,627542.0
2012-03,78.9,205.08,710443.0
2012-04,72.3,203.57,647341.0
2012-05,72.8,189.39,622629.0
2012-06,76.3,202.15,679463.0
2012-07,81.8,216.17,724793.0
2012-08,81.2,215.96,730699.0
2012-09,73.7,187.18,600443.0
2012-10,74.4,190.31,646644.0
2012-11,74.0,195.01,656181.0
2012-12,75.0,236.21,736098.0
2013-01,81.0,233.84,667861.0
2013-02,85.7,235.96,664304.0
2013-03,79.5,237.15,756767.0
2013-04,74.7,221.51,659831.0
2013-05,72.1,210.41,637514.0
2013-06,75.8,228.38,711329.0
2013-07,79.1,245.17,753344.0
2013-08,80.6,243.33,740582.0
2013-09,73.7,209.97,597725.0
2013-10,72.9,211.54,640338.0
2013-11,71.3,211.32,624101.0
2013-12,72.6,265.56,720766.0
2014-01,79.5,248.74,690481.0
2014-02,84.8,245.51,651331.0
2014-03,78.6,236.99,732507.0
2014-04,72.6,227.65,667032.0
2014-05,72.8,210.82,650799.0
2014-06,76.5,227.78,725409.0
2014-07,81.2,247.54,774483.0
2014-08,78.8,242.93,735758.0
2014-09,76.0,212.13,624373.0
2014-10,76.7,217.27,662576.0
2014-11,73.0,218.44,638991.0
2014-12,74.5,280.2,767045.0
2015-01,77.3,254.31,685482.0
2015-02,82.8,254.37,665365.0
2015-03,79.9,248.25,782681.0
2015-04,74.8,236.18,680149.0
2015-05,76.4,224.06,712134.0
2015-06,81.8,245.17,777469.0
2015-07,81.2,260.45,818454.0
2015-08,80.5,251.9,757539.0
2015-09,76.4,218.01,647201.0
2015-10,78.2,222.42,687740.0
2015-11,76.1,226.4,665856.0
2015-12,78.9,288.01,799495.0
2016-01,80.3,256.99,723543.0
2016-02,83.4,261.53,690359.0
2016-03,78.9,257.61,782857.0
2016-04,76.8,239.99,700218.0
2016-05,75.8,228.84,716741.0
2016-06,80.0,253.34,799700.0
2016-07,82.6,273.66,833438.0
2016-08,80.4,264.72,777504.0
2016-09,78.5,235.55,667587.0
2016-10,78.5,232.41,717011.0
2016-11,75.5,239.1,697109.0
2016-12,78.9,308.98,828211.0
2017-01,81.3,281.38,758919.0
2017-02,83.7,272.14,708059.0
2017-03,79.0,267.58,807506.0
2017-04,77.7,258.65,757643.0
2017-05,78.0,241.45,754531.0
2017-06,82.5,262.96,835365.0
2017-07,84.8,281.87,895823.0
2017-08,81.1,269.8,819173.0
2017-09,78.4,231.3,700475.0
2017-10,78.8,240.61,737643.0
2017-11,78.4,242.75,749466.0
2017-12,78.7,319.25,879744.0
2018-01,81.7,295.16,794946.0
2018-02,85.6,293.98,776506.0
2018-03,81.7,288.65,896601.0
2018-04,80.5,269.45,795942.0
2018-05,79.5,256.07,796850.0
2018-06,82.0,277.13,891001.0
2018-07,83.8,295.55,935017.0
2018-08,78.3,281.54,843585.0
2018-09,76.9,241.72,716055.0
2018-10,76.4,249.1,763673.0
2018-11,75.8,250.98,778483.0
2018-12,75.8,332.33,900187.0
2019-01,79.5,298.85,817600.0
2019-02,83.4,289.92,780827.0
2019-03,79.6,284.9,928849.0
2019-04,78.4,274.8,849398.0
2019-05,79.2,256.01,847396.0
2019-06,84.1,280.43,947112.0
2019-07,85.2,304.73,995210.0
2019-08,84.3,289.75,926417.0
2019-09,78.2,247.17,736155.0
2019-10,79.1,253.29,796191.0
2019-11,78.8,259.78,809076.0
2019-12,80.2,352.12,952441.0
2020-01,84.1,314.27,862574.0
2020-02,84.7,310.31,828056.0
2020-03,44.5,279.9,434856.0
2020-04,8.9,131.16,4564.0
2020-05,14.2,126.72,9116.0
2020-06,15.6,161.51,17068.0
2020-07,20.9,174.03,22562.0
2020-08,21.7,157.94,22344.0
2020-09,19.6,148.8,18868.0
2020-10,19.7,174.12,76613.0
2020-11,22.1,229.61,183779.0
2020-12,23.8,291.01,235793.0
2021-01,23.3,251.3,171976.0
2021-02,30.5,258.77,235283.0
